2022-02-01 15:21:05,941 | SERVER_CODE |  INFO | [4479] Building Model..
2022-02-01 15:21:06,063 | SERVER_CODE |  INFO | [4479] ServerCode Model built in 122ms
2022-02-01 15:21:06,063 | SERVER_CODE |  INFO | [4479] Services (1):
2022-02-01 15:21:06,063 | SERVER_CODE |  INFO | [4479]   NEAR (services/NEAR/index.js)
2022-02-01 15:21:06,066 | SERVER_CODE |  INFO | [4479] Processing finished in 134.912ms
2022-02-01 15:40:45,979 | SERVER_CODE |  INFO | [8292] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-02-01 15:40:45,981 | SERVER_CODE |  INFO | [8292] Building Model..
2022-02-01 15:40:46,119 | SERVER_CODE |  INFO | [8292] ServerCode Model built in 138ms
2022-02-01 15:40:46,119 | SERVER_CODE |  INFO | [8292] Services (1):
2022-02-01 15:40:46,120 | SERVER_CODE |  INFO | [8292]   NEAR (services/NEAR/index.js)
2022-02-01 15:40:46,122 | SERVER_CODE |  INFO | [8292] Processing finished in 151.820ms
2022-02-01 15:40:46,638 | SERVER_CODE |  INFO | [6679] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-02-01 15:40:46,641 | SERVER_CODE |  INFO | [6679] Building Model..
2022-02-01 15:40:46,776 | SERVER_CODE |  INFO | [6679] ServerCode Model built in 135ms
2022-02-01 15:40:46,777 | SERVER_CODE |  INFO | [6679] Services (1):
2022-02-01 15:40:46,777 | SERVER_CODE |  INFO | [6679]   NEAR (services/NEAR/index.js)
2022-02-01 15:40:46,780 | SERVER_CODE |  INFO | [6679] Processing finished in 150.766ms
2022-02-01 15:41:02,327 | SERVER_CODE |  INFO | [8314] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 15:41:02,329 | SERVER_CODE |  INFO | [8314] ServerCode Model built in 6ms
2022-02-01 15:41:02,333 | SERVER_CODE |  INFO | [8314] [6E728B88-22D9-06E9-FF86-123530A32500] [INVOKE SERVICE] services.NEAR.view
2022-02-01 15:41:03,292 | SERVER_CODE |  INFO | [8314] Processing finished in 975.764ms
2022-02-01 16:02:56,188 | SERVER_CODE |  INFO | [11066] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:02:56,190 | SERVER_CODE |  INFO | [11066] ServerCode Model built in 5ms
2022-02-01 16:02:56,193 | SERVER_CODE |  INFO | [11066] [1AF0EBA9-08FD-E4F5-FF3B-3198D1740C00] [INVOKE SERVICE] services.NEAR.view
2022-02-01 16:02:56,535 | SERVER_CODE |  INFO | [11066] Processing finished in 356.541ms
2022-02-01 16:02:57,884 | SERVER_CODE |  INFO | [11728] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:02:57,886 | SERVER_CODE |  INFO | [11728] ServerCode Model built in 5ms
2022-02-01 16:02:57,890 | SERVER_CODE |  INFO | [11728] [662584DC-7F36-DCD1-FF53-6E8090333200] [INVOKE SERVICE] services.NEAR.view
2022-02-01 16:02:58,504 | SERVER_CODE |  INFO | [11728] Processing finished in 630.373ms
2022-02-01 16:02:59,873 | SERVER_CODE |  INFO | [9440] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:02:59,875 | SERVER_CODE |  INFO | [9440] ServerCode Model built in 5ms
2022-02-01 16:02:59,878 | SERVER_CODE |  INFO | [9440] [86229977-0989-50AC-FF82-4CE617002200] [INVOKE SERVICE] services.NEAR.view
2022-02-01 16:03:00,005 | SERVER_CODE |  INFO | [9440] Processing finished in 141.172ms
2022-02-01 16:03:01,909 | SERVER_CODE |  INFO | [11739] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:03:01,911 | SERVER_CODE |  INFO | [11739] ServerCode Model built in 6ms
2022-02-01 16:03:01,914 | SERVER_CODE |  INFO | [11739] [52BAC661-EF53-373A-FFA9-2FABA16A6B00] [INVOKE SERVICE] services.NEAR.view
2022-02-01 16:03:02,160 | SERVER_CODE |  INFO | [11739] Processing finished in 259.150ms
2022-02-01 16:03:03,845 | SERVER_CODE |  INFO | [11110] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:03:03,847 | SERVER_CODE |  INFO | [11110] ServerCode Model built in 5ms
2022-02-01 16:03:03,849 | SERVER_CODE |  INFO | [11110] [6A04C4D2-A66F-41E1-FF48-35077B109400] [INVOKE SERVICE] services.NEAR.view
2022-02-01 16:03:03,942 | SERVER_CODE |  INFO | [11110] Processing finished in 105.750ms
2022-02-01 16:03:05,841 | SERVER_CODE |  INFO | [9451] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:03:05,843 | SERVER_CODE |  INFO | [9451] ServerCode Model built in 5ms
2022-02-01 16:03:05,845 | SERVER_CODE |  INFO | [9451] [F6AF3E4D-9E38-01F7-FF0E-5F671827B800] [INVOKE SERVICE] services.NEAR.view
2022-02-01 16:03:05,983 | SERVER_CODE |  INFO | [9451] Processing finished in 150.184ms
2022-02-01 16:03:07,870 | SERVER_CODE |  INFO | [11121] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:03:07,872 | SERVER_CODE |  INFO | [11121] ServerCode Model built in 5ms
2022-02-01 16:03:07,874 | SERVER_CODE |  INFO | [11121] [7500DD52-2E54-23A4-FF42-82842BFE8600] [INVOKE SERVICE] services.NEAR.view
2022-02-01 16:03:08,053 | SERVER_CODE |  INFO | [11121] Processing finished in 191.595ms
2022-02-01 16:03:10,038 | SERVER_CODE |  INFO | [9462] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:03:10,039 | SERVER_CODE |  INFO | [9462] ServerCode Model built in 4ms
2022-02-01 16:03:10,041 | SERVER_CODE |  INFO | [9462] [9492895D-57F4-AE34-FFC6-14CFEF043400] [INVOKE SERVICE] services.NEAR.view
2022-02-01 16:03:10,125 | SERVER_CODE |  INFO | [9462] Processing finished in 95.078ms
2022-02-01 16:03:13,074 | SERVER_CODE |  INFO | [11132] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-02-01 16:03:13,076 | SERVER_CODE |  INFO | [11132] ServerCode Model built in 6ms
2022-02-01 16:03:13,078 | SERVER_CODE |  INFO | [11132] [FFBE423F-1C54-198F-FF1D-E33E5A3F5200] [INVOKE SERVICE] services.NEAR.view
