2022-01-31 07:56:52,898 | SERVER_CODE |  INFO | [2864] Processing finished in 714.960ms
2022-01-31 07:57:45,248 | SERVER_CODE |  INFO | [2908] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:57:45,250 | SERVER_CODE |  INFO | [2908] Building Model..
2022-01-31 07:57:45,368 | SERVER_CODE |  INFO | [2908] ServerCode Model built in 118ms
2022-01-31 07:57:45,368 | SERVER_CODE |  INFO | [2908] Services (1):
2022-01-31 07:57:45,368 | SERVER_CODE |  INFO | [2908]   NEAR (services/NEAR/index.js)
2022-01-31 07:57:45,371 | SERVER_CODE |  INFO | [2908] Processing finished in 130.942ms
2022-01-31 07:57:45,879 | SERVER_CODE |  INFO | [2089] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 07:57:45,881 | SERVER_CODE |  INFO | [2089] Building Model..
2022-01-31 07:57:45,996 | SERVER_CODE |  INFO | [2089] ServerCode Model built in 114ms
2022-01-31 07:57:45,996 | SERVER_CODE |  INFO | [2089] Services (1):
2022-01-31 07:57:45,996 | SERVER_CODE |  INFO | [2089]   NEAR (services/NEAR/index.js)
2022-01-31 07:57:45,998 | SERVER_CODE |  INFO | [2089] Processing finished in 126.994ms
2022-01-31 08:00:32,312 | SERVER_CODE |  INFO | [3051] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 08:00:32,313 | SERVER_CODE |  INFO | [3051] ServerCode Model built in 5ms
2022-01-31 08:00:32,318 | SERVER_CODE |  INFO | [3051] [D3E22486-0D97-36A2-FF8D-FCADD45E7D00] [INVOKE SERVICE] services.NEAR.Balance
2022-01-31 08:00:32,419 | SERVER_CODE | ERROR | [3051] Error: Status Code 301 (Moved Permanently)
    at new ResponseError (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:42:116)
    at checkStatus (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:244:9)
    at processTicksAndRejections (internal/process/task_queues.js:95:5)
2022-01-31 08:00:32,419 | SERVER_CODE |  INFO | [3051] Processing finished in 116.899ms
2022-01-31 08:03:12,339 | SERVER_CODE |  INFO | [1489] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:03:12,341 | SERVER_CODE |  INFO | [1489] Building Model..
2022-01-31 08:03:12,461 | SERVER_CODE |  INFO | [1489] ServerCode Model built in 120ms
2022-01-31 08:03:12,461 | SERVER_CODE |  INFO | [1489] Services (1):
2022-01-31 08:03:12,461 | SERVER_CODE |  INFO | [1489]   NEAR (services/NEAR/index.js)
2022-01-31 08:03:12,464 | SERVER_CODE |  INFO | [1489] Processing finished in 132.461ms
2022-01-31 08:03:12,974 | SERVER_CODE |  INFO | [2452] [ANALYSE CODE] codePath: /opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/DRAFT
2022-01-31 08:03:12,976 | SERVER_CODE |  INFO | [2452] Building Model..
2022-01-31 08:03:13,096 | SERVER_CODE |  INFO | [2452] ServerCode Model built in 120ms
2022-01-31 08:03:13,096 | SERVER_CODE |  INFO | [2452] Services (1):
2022-01-31 08:03:13,096 | SERVER_CODE |  INFO | [2452]   NEAR (services/NEAR/index.js)
2022-01-31 08:03:13,098 | SERVER_CODE |  INFO | [2452] Processing finished in 132.394ms
2022-01-31 08:03:17,734 | SERVER_CODE |  INFO | [3282] Building ServerCode Model for path (/opt/backendless/repo/2338d9e8-6a00-a259-ff96-7507df32ab00/files/servercode/CODELESS/NEAR/PRODUCTION)
2022-01-31 08:03:17,736 | SERVER_CODE |  INFO | [3282] ServerCode Model built in 5ms
2022-01-31 08:03:17,741 | SERVER_CODE |  INFO | [3282] [07BFBB4D-7B49-9CE6-FF5C-541D0F856100] [INVOKE SERVICE] services.NEAR.Balance
2022-01-31 08:03:18,103 | SERVER_CODE | ERROR | [3282] Error: Status Code 301 (Moved Permanently)
    at new ResponseError (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:42:116)
    at checkStatus (/usr/local/lib/node_modules/backendless-coderunner/node_modules/backendless-request/lib/index.js:244:9)
    at processTicksAndRejections (internal/process/task_queues.js:95:5)
2022-01-31 08:03:18,103 | SERVER_CODE |  INFO | [3282] Processing finished in 378.308ms
